WKT,fid,A/A
"POLYGON ((531003.480283345 3889015.6574361,530996.39332978 3889001.95599254,530973.951310156 3888989.90817148,530954.107840172 3888979.7502047,530938.989005899 3888976.67919149,530933.555674832 3888978.33281399,530928.35857555 3888981.64005898,530922.452780912 3888984.94730398,530928.35857555 3888992.50672112,530944.18610518 3888997.23135683,530960.958561952 3889002.42845611,530974.423773727 3889007.15309182,530980.329568365 3889010.93280039,530985.762899432 3889016.83859503,530988.361449072 3889022.27192609,531003.480283345 3889015.6574361))",1,
"POLYGON ((530762.405746223 3888866.35894765,530771.618785859 3888851.24011338,530789.572401558 3888861.87054373,530816.502825107 3888876.28068264,530843.197016871 3888890.92705335,530874.379612559 3888908.17197369,530904.617281106 3888923.52703975,530927.05930073 3888934.39370188,530939.815817148 3888938.64587402,530957.119795438 3888948.64143145,530951.332116692 3888957.26389162,530949.08791473 3888959.86244126,530944.835742591 3888960.8073684,530937.394441347 3888960.21678894,530933.024153315 3888960.57113661,530927.590822248 3888962.69722268,530922.511838859 3888964.94142465,530919.322709754 3888967.42185839,530913.180683331 3888971.67403053,530907.393004586 3888967.65809018,530897.825617272 3888962.22475911,530883.415478355 3888953.83853073,530872.9031639 3888948.64143145,530850.343028383 3888939.5465077,530853.886505166 3888933.64071307,530855.540127664 3888928.44361378,530857.193750163 3888922.18347147,530858.138677305 3888918.52187879,530858.847372662 3888915.80521326,530823.176373048 3888897.61536577,530762.405746223 3888866.35894765))",2,
"POLYGON ((531019.662160653 3889010.23886952,531019.898392439 3888998.66351203,531048.954902058 3889019.09756148,531067.380981328 3889041.5395811,531099.036040588 3889065.39899144,531137.778053413 3889090.4395607,531173.212821241 3889106.50332212,531192.111364083 3889115.48012997,531216.207006206 3889131.54389138,531186.205569445 3889164.38010957,531146.754861263 3889131.78012317,531123.604146282 3889116.18882533,531110.138934507 3889107.68448105,531099.98096773 3889102.25114998,531048.246206701 3889037.99610432,531030.056359216 3889018.86132969,531028.166504932 3889016.61712773,531019.662160653 3889010.23886952))",3,
"POLYGON ((531334.322898965 3889142.7649012,531322.747541475 3889134.73302049,531305.975084703 3889123.157663,531292.037409357 3889115.36201408,531273.375098301 3889106.62143801,531252.114237604 3889100.2431798,531246.917138323 3889109.69245122,531240.775111899 3889119.850418,531244.082356897 3889125.75621264,531259.20119117 3889133.78809335,531277.863502226 3889143.23736477,531292.037409357 3889151.74170905,531301.722912563 3889159.0648944,531306.920011845 3889164.02576189,531320.444281566 3889155.90529427,531330.247900665 3889148.70022481,531336.508042981 3889144.68428445,531334.322898965 3889142.7649012))",4,
"POLYGON ((531313.239212107 3889168.60275274,531328.003698702 3889157.08645319,531336.153695302 3889151.2397165,531340.523983335 3889148.46399302,531344.303691903 3889154.48790355,531347.315647168 3889161.57485712,531352.33557261 3889172.44151925,531357.001150375 3889179.46941487,531361.076148675 3889187.26506379,531351.449703415 3889191.63535183,531343.713112439 3889194.76542298,531338.929418782 3889197.54114646,531336.508042981 3889198.19078387,531335.326884053 3889198.78136334,531313.239212107 3889168.60275274))",5,
